# IMMUTABLE RAW PULL — DO NOT MODIFY
# Instrument: SPY
# Source: IBKR TWS port 7497
# whatToShow: ADJUSTED_LAST
# barSizeSetting: 1 day, useRTH: True
# Pull date: 2026-07-01
# Rows: 6033
date,open,high,low,close,volume
2022-02-16,417.7,421.59,415.83,420.21,59973887.0
2022-02-17,417.03,417.58,410.64,411.24,69580260.0
2022-02-18,411.49,412.74,406.31,408.57,81174856.0
2022-02-22,406.37,409.77,400.7,404.19,87865860.0
2022-02-23,407.13,407.66,396.46,397.02,91977848.0
2022-02-24,386.74,403.43,386.38,403.0,140677919.0
2022-02-25,404.23,411.97,402.58,411.89,88184778.0
2022-02-28,406.5,412.31,405.25,410.83,102142961.0
2022-03-01,409.34,411.34,401.88,404.58,93454896.0
2022-03-02,406.86,413.59,406.07,412.02,82387441.0
2022-03-03,414.45,415.05,408.21,409.97,78005730.0
2022-03-04,406.24,407.77,402.6,406.64,82104611.0
2022-03-07,406.05,406.33,394.58,394.65,89082963.0
2022-03-08,394.9,401.97,390.59,391.66,117215629.0
2022-03-09,400.02,404.13,397.84,402.16,76101706.0
2022-03-10,397.56,401.24,395.6,400.34,64376229.0
2022-03-11,402.83,403.44,394.74,395.25,67244627.0
2022-03-14,396.02,399.47,391.22,392.36,70711734.0
2022-03-15,394.97,401.62,393.7,400.99,69745175.0
2022-03-16,404.49,409.94,399.7,409.88,98371965.0
2022-03-17,407.95,415.01,407.57,415.01,61245575.0
2022-03-18,413.4,419.88,412.67,419.56,60711706.0
2022-03-21,419.39,421.39,415.93,419.43,61888065.0
2022-03-22,420.82,425.28,420.82,424.34,53128937.0
2022-03-23,421.81,423.3,418.87,418.88,51936675.0
2022-03-24,420.89,425.19,419.78,425.19,43574417.0
2022-03-25,425.82,427.54,423.25,427.27,50013598.0
2022-03-28,426.67,430.31,424.79,430.31,45680941.0
2022-03-29,434.19,436.12,431.51,435.63,60639924.0
2022-03-30,434.49,435.3,430.83,432.94,51088790.0
2022-03-31,432.18,433.0,425.82,426.28,65471377.0
2022-04-01,427.86,427.99,423.92,427.48,56041174.0
2022-04-04,427.68,431.17,426.86,431.15,40084318.0
2022-04-05,429.66,432.12,424.56,425.7,56658056.0
2022-04-06,421.79,423.72,418.57,421.44,77608218.0
2022-04-07,420.58,425.38,418.62,423.57,58991639.0
2022-04-08,422.81,425.32,420.9,422.43,51249072.0
2022-04-11,419.17,420.01,414.71,415.21,59762348.0
2022-04-12,418.2,420.72,412.13,413.68,64453884.0
2022-04-13,413.43,419.17,413.25,418.41,49413481.0
2022-04-14,418.64,419.76,413.1,413.2,57522580.0
2022-04-18,412.28,415.05,411.15,413.37,44962308.0
2022-04-19,413.27,420.76,413.1,420.05,55585968.0
2022-04-20,421.81,422.43,418.57,419.74,50759129.0
2022-04-21,423.35,424.74,412.55,413.46,66692849.0
2022-04-22,412.36,412.68,401.55,402.11,87458031.0
2022-04-25,399.87,404.62,395.32,404.45,85778929.0
2022-04-26,401.91,402.11,392.7,392.73,74845854.0
2022-04-27,393.81,399.17,391.7,393.84,85892425.0
2022-04-28,398.57,405.51,394.15,403.78,76568394.0
2022-04-29,399.8,401.95,388.12,388.86,96345794.0
2022-05-02,388.93,392.56,382.27,391.2,106575500.0
2022-05-03,391.7,395.4,390.15,393.0,76549665.0
2022-05-04,393.65,405.53,390.47,404.96,104890330.0
2022-05-05,400.68,401.13,386.45,390.57,130843333.0
2022-05-06,388.01,391.51,382.94,388.24,104966754.0
2022-05-09,382.35,383.59,374.23,375.81,107227258.0
2022-05-10,381.77,383.27,372.65,376.68,93489864.0
2022-05-11,375.7,381.35,369.95,370.69,96582363.0
2022-05-12,367.5,373.57,363.52,370.31,88085178.0
2022-05-13,374.43,380.54,373.39,379.16,73308970.0
2022-05-16,377.52,381.28,375.27,377.62,55182000.0
2022-05-17,383.7,385.63,379.97,385.39,57983645.0
2022-05-18,380.84,381.12,368.62,369.85,77329498.0
2022-05-19,366.74,372.01,365.37,367.59,69703449.0
2022-05-20,371.17,374.73,359.17,367.75,84558404.0
2022-05-23,370.77,375.39,368.46,374.63,57102048.0
2022-05-24,370.51,372.96,365.23,371.77,65583481.0
2022-05-25,370.28,377.02,369.88,375.05,59804395.0
2022-05-26,376.28,384.18,376.07,382.55,55446007.0
2022-05-27,385.02,392.06,384.8,391.94,57583495.0
2022-05-31,390.33,393.07,387.0,389.74,62421447.0
2022-06-01,391.84,392.86,384.08,386.59,61427245.0
2022-06-02,386.43,394.0,384.18,393.95,56396378.0
2022-06-03,389.2,390.79,386.51,387.48,50653766.0
2022-06-06,391.49,393.21,387.49,388.66,44079770.0
2022-06-07,385.18,392.85,384.72,392.39,41920476.0
2022-06-08,390.68,392.47,387.33,388.13,44469002.0
2022-06-09,386.34,388.62,378.9,378.9,57950847.0
